source,target
1281406452792356864,1281389963007926273
1281352503955795970,1281349880053747712
1281351331647758337,1281337722280579078
1281339415084900358,1281337722280579078
1281339231693144067,1281337722280579078
1281338814049538050,1281324945516236801
1281294961619673089,1281205160199499776
1281099185278910467,1281098291590111233
1281141290705485825,1281064090157408257
1281065108190437376,1281064090157408257
1281064103893704709,1281061011311800321
1281063132157353986,1281061011311800321
1281065737667444741,1281048442807214081
1281177860917669889,1281003882944946176
1281012979635453952,1281003882944946176
1281007966922162182,1281003882944946176
1281006593140764672,1281003882944946176
1281006356733050880,1281003882944946176
1281006324168474624,1281003882944946176
1281004973443162113,1281003882944946176
1281617267009167360,1281000110562766848
1281013322922557441,1280984023700049922
1281001919201382407,1280984023700049922
1280984978340413442,1280984023700049922
1280984157733244937,1280984023700049922
1280994969554227203,1280982574043717633
1280993733647970313,1280982574043717633
1280988071765389312,1280982574043717633
1280984651889287186,1280982574043717633
1280957378817601537,1280947960629641216
1280947573633712128,1280947292707659777
1280933846729592834,1280909570685177857
1280916005141823489,1280909570685177857
1280914542424469510,1280909570685177857
1280910738140381186,1280909570685177857
1282990086108282880,1280898910081503233
1281360126235021321,1280898910081503233
1281287154753327105,1280898910081503233
1281258057188536321,1280898910081503233
1281117802561187844,1280898910081503233
1281103196195303427,1280898910081503233
1281102585940922370,1280898910081503233
1281087598618869761,1280898910081503233
1281070177841528832,1280898910081503233
1281045585093636097,1280898910081503233
1281040535864647683,1280898910081503233
1281039373740445697,1280898910081503233
1281037049827647488,1280898910081503233
1281034682621140992,1280898910081503233
1281033570719543299,1280898910081503233
1281032563813990407,1280898910081503233
1281023894980308992,1280898910081503233
1281021881668288514,1280898910081503233
1281019492131274756,1280898910081503233
1281016626813550592,1280898910081503233
1281014816392560646,1280898910081503233
1281010089646833665,1280898910081503233
1281007115163832320,1280898910081503233
1280996884765687810,1280898910081503233
1280995355396620289,1280898910081503233
1280953860941590528,1280898910081503233
1280936812454739969,1280898910081503233
1280936398594486273,1280898910081503233
1280932779098767366,1280898910081503233
1280929000802713600,1280898910081503233
1280927507676639236,1280898910081503233
1280925096551624705,1280898910081503233
1280915056688054275,1280898910081503233
1280914035517657088,1280898910081503233
1280912279521955841,1280898910081503233
1280910707228397575,1280898910081503233
1280906238889525249,1280898910081503233
1280905161746022400,1280898910081503233
1280900930016247809,1280898910081503233
1280900332738969600,1280898910081503233
1280900209682329608,1280898910081503233
1280900070578311177,1280898910081503233
1280898429829484547,1280893119836368896
1280888016224075781,1280887056470880256
1280887982455762944,1280887056470880256
1281000148861161472,1280883599030583297
1280898142859337729,1280883599030583297
1280896302457532418,1280883599030583297
1280893519255801856,1280883599030583297
1280887960418897921,1280883599030583297
1280885917947920384,1280883599030583297
1280885386227654661,1280883599030583297
1280884455788498944,1280883599030583297
1281059478562111488,1280877253228929024
1280855455804395521,1280854230966980609
1281010420359323660,1280851629885943810
1280934971973136384,1280851629885943810
1280853761787822080,1280851629885943810
1280804136427061249,1280799059402514432
1280766609653710848,1280766275720032256
1281229477666791429,1280735810334199808
